age,workclass,education_num,marital_status,occupation,relationship,race,sex,hours_per_week,native_country,income,
-20,Private,7,Never-married,Other-service,Own-child,White,Female,16,United-States,<=50K,70-75
20-25,Local-gov,10,Married-civ-spouse,Adm-clerical,Wife,White,Female,44,United-States,<=50K,20-25
25-30,Private,13,Never-married,Exec-managerial,Not-in-family,White,Female,40,United-States,<=50K,25-30
70-75,?,7,Married-civ-spouse,?,Husband,White,Male,3,United-States,<=50K,70-75
35-40,Private,9,Married-civ-spouse,Craft-repair,Husband,White,Male,40,United-States,>50K,35-40
30-35,Self-emp-inc,14,Married-civ-spouse,Craft-repair,Husband,White,Male,40,United-States,<=50K,30-35
55-60,Private,9,Divorced,Machine-op-inspct,Not-in-family,White,Female,40,United-States,>50K,55-60
20-25,Private,6,Separated,Other-service,Unmarried,White,Female,40,United-States,<=50K,20-25
30-35,?,9,Separated,?,Unmarried,White,Female,20,United-States,<=50K,30-35
30-35,Private,9,Married-civ-spouse,Transport-moving,Husband,White,Male,60,United-States,<=50K,30-35
40-45,Private,9,Married-civ-spouse,Craft-repair,Husband,White,Male,40,United-States,<=50K,40-45
40-45,Private,13,Separated,Prof-specialty,Unmarried,White,Male,45,United-States,<=50K,40-45
55-60,Self-emp-not-inc,10,Married-civ-spouse,Tech-support,Husband,White,Male,38,United-States,>50K,55-60
40-45,Private,14,Divorced,Prof-specialty,Not-in-family,White,Male,40,United-States,<=50K,40-45
20-25,Private,10,Never-married,Transport-moving,Own-child,White,Male,30,United-States,<=50K,20-25
20-25,?,10,Never-married,?,Own-child,White,Female,35,United-States,<=50K,20-25
40-45,Self-emp-not-inc,13,Married-civ-spouse,Sales,Husband,White,Male,50,United-States,>50K,40-45
35-40,Private,10,Married-civ-spouse,Sales,Husband,White,Male,55,United-States,<=50K,35-40
40-45,Private,10,Married-civ-spouse,Prof-specialty,Wife,White,Female,32,United-States,>50K,40-45
20-25,Local-gov,9,Never-married,Handlers-cleaners,Own-child,Black,Male,40,United-States,<=50K,20-25
45-50,Private,10,Married-civ-spouse,Craft-repair,Husband,White,Male,40,United-States,<=50K,45-50
40-45,Private,10,Divorced,Adm-clerical,Unmarried,White,Female,40,United-States,<=50K,40-45
25-30,Private,13,Never-married,Adm-clerical,Not-in-family,Black,Female,40,United-States,<=50K,25-30
50-55,Private,10,Married-spouse-absent,Adm-clerical,Not-in-family,White,Female,16,United-States,>50K,50-55
70-75,Private,10,Widowed,Sales,Not-in-family,White,Male,35,United-States,>50K,70-75
50-55,Private,9,Never-married,Craft-repair,Own-child,White,Male,55,United-States,<=50K,50-55
35-40,Private,9,Married-civ-spouse,Sales,Husband,White,Male,40,United-States,<=50K,35-40
50-55,Private,10,Divorced,Craft-repair,Not-in-family,White,Male,48,United-States,>50K,50-55
35-40,Private,9,Married-civ-spouse,Other-service,Wife,White,Female,30,United-States,>50K,35-40
25-30,Private,6,Never-married,Handlers-cleaners,Not-in-family,White,Male,40,United-States,<=50K,25-30
30-35,Private,13,Married-civ-spouse,Prof-specialty,Husband,White,Male,55,United-States,>50K,30-35
30-35,Private,13,Never-married,Prof-specialty,Not-in-family,White,Male,50,United-States,>50K,30-35
20-25,Private,5,Never-married,Sales,Own-child,White,Female,40,United-States,<=50K,20-25
30-35,Local-gov,10,Married-civ-spouse,Craft-repair,Husband,White,Male,40,United-States,<=50K,30-35
55-60,Self-emp-not-inc,13,Married-civ-spouse,Exec-managerial,Husband,White,Male,60,United-States,<=50K,55-60
35-40,Private,13,Married-civ-spouse,Prof-specialty,Wife,White,Female,36,United-States,>50K,35-40
20-25,Private,10,Never-married,Tech-support,Own-child,White,Female,20,United-States,<=50K,20-25
20-25,Private,7,Divorced,Sales,Unmarried,White,Female,35,United-States,<=50K,20-25
20-25,Private,13,Never-married,Prof-specialty,Not-in-family,White,Male,50,United-States,<=50K,20-25
25-30,Private,13,Never-married,Prof-specialty,Not-in-family,White,Male,45,United-States,<=50K,25-30
20-25,Private,9,Never-married,Adm-clerical,Unmarried,White,Female,40,United-States,<=50K,20-25
25-30,Private,10,Never-married,Adm-clerical,Not-in-family,White,Female,40,United-States,<=50K,25-30
40-45,Private,10,Married-civ-spouse,Machine-op-inspct,Wife,White,Female,37,United-States,>50K,40-45
50-55,Private,9,Married-civ-spouse,Craft-repair,Husband,White,Male,40,United-States,<=50K,50-55
30-35,Private,11,Married-civ-spouse,Craft-repair,Husband,White,Male,40,United-States,<=50K,30-35
55-60,Private,2,Married-civ-spouse,Machine-op-inspct,Husband,White,Male,40,Mexico,<=50K,55-60
25-30,Private,9,Married-civ-spouse,Other-service,Wife,White,Female,40,United-States,<=50K,25-30
-20,Private,9,Never-married,Adm-clerical,Own-child,White,Female,20,United-States,<=50K,70-75
20-25,Private,9,Married-civ-spouse,Craft-repair,Wife,White,Female,36,United-States,<=50K,20-25
35-40,State-gov,10,Separated,Exec-managerial,Own-child,White,Male,40,United-States,<=50K,35-40
35-40,Private,9,Never-married,Priv-house-serv,Unmarried,Black,Female,28,?,<=50K,35-40
30-35,Self-emp-not-inc,9,Separated,Exec-managerial,Not-in-family,White,Male,50,United-States,<=50K,30-35
40-45,Self-emp-not-inc,13,Married-civ-spouse,Exec-managerial,Husband,White,Male,70,United-States,>50K,40-45
40-45,Self-emp-not-inc,8,Divorced,Craft-repair,Other-relative,Black,Male,35,United-States,<=50K,40-45
20-25,Private,11,Never-married,Transport-moving,Own-child,White,Male,40,United-States,<=50K,20-25
65-70,Self-emp-inc,16,Married-civ-spouse,Prof-specialty,Husband,White,Male,60,Canada,>50K,65-70
30-35,Private,9,Never-married,Machine-op-inspct,Other-relative,Black,Male,40,United-States,<=50K,30-35
40-45,Private,13,Never-married,Prof-specialty,Not-in-family,White,Male,40,United-States,>50K,40-45
50-55,Private,3,Married-civ-spouse,Machine-op-inspct,Husband,Asian-Pac-Islander,Male,40,Laos,<=50K,50-55
40-45,Private,9,Married-civ-spouse,Craft-repair,Husband,White,Male,16,United-States,<=50K,40-45
30-35,Private,9,Divorced,Other-service,Not-in-family,White,Female,40,United-States,<=50K,30-35
45-50,Private,9,Married-civ-spouse,Machine-op-inspct,Husband,White,Male,40,United-States,<=50K,45-50
65-70,Private,3,Married-civ-spouse,Farming-fishing,Husband,White,Male,24,Mexico,<=50K,65-70
25-30,Private,13,Married-civ-spouse,Exec-managerial,Husband,White,Male,45,United-States,<=50K,25-30
25-30,?,16,Married-civ-spouse,?,Husband,White,Male,50,United-States,>50K,25-30
30-35,Private,9,Never-married,Farming-fishing,Not-in-family,White,Male,35,United-States,<=50K,30-35
35-40,Self-emp-inc,6,Never-married,Transport-moving,Not-in-family,White,Male,50,United-States,>50K,35-40
35-40,Private,13,Married-civ-spouse,Exec-managerial,Husband,Asian-Pac-Islander,Male,50,Japan,>50K,35-40
40-45,Local-gov,9,Divorced,Transport-moving,Own-child,White,Male,25,United-States,<=50K,40-45
-20,Private,9,Never-married,Transport-moving,Own-child,White,Male,40,United-States,<=50K,70-75
20-25,?,10,Never-married,?,Own-child,White,Male,40,United-States,<=50K,20-25
20-25,Private,13,Never-married,Prof-specialty,Not-in-family,White,Female,40,United-States,<=50K,20-25
55-60,Private,9,Married-civ-spouse,Exec-managerial,Husband,White,Male,50,United-States,>50K,55-60
55-60,Private,13,Widowed,Other-service,Not-in-family,White,Female,40,United-States,<=50K,55-60
35-40,Private,6,Divorced,Craft-repair,Unmarried,White,Female,40,United-States,<=50K,35-40
40-45,Private,10,Divorced,Machine-op-inspct,Not-in-family,White,Male,40,United-States,<=50K,40-45
30-35,Private,9,Married-civ-spouse,Craft-repair,Husband,White,Male,40,United-States,<=50K,30-35
30-35,Private,13,Never-married,Sales,Own-child,Black,Female,40,United-States,<=50K,30-35
40-45,Private,5,Divorced,Other-service,Own-child,White,Female,50,United-States,<=50K,40-45
25-30,Private,9,Never-married,Handlers-cleaners,Unmarried,White,Male,40,United-States,<=50K,25-30
30-35,Private,9,Divorced,Other-service,Not-in-family,White,Female,35,United-States,<=50K,30-35
35-40,Private,9,Married-civ-spouse,Machine-op-inspct,Husband,White,Male,40,United-States,<=50K,35-40
25-30,Private,10,Never-married,Tech-support,Own-child,White,Female,40,United-States,<=50K,25-30
20-25,Private,7,Never-married,Transport-moving,Own-child,White,Male,60,United-States,<=50K,20-25
20-25,Private,9,Married-civ-spouse,Craft-repair,Husband,White,Male,60,Mexico,>50K,20-25
35-40,Private,9,Divorced,Craft-repair,Not-in-family,White,Male,45,United-States,<=50K,35-40
20-25,Private,9,Never-married,Craft-repair,Other-relative,White,Male,40,United-States,<=50K,20-25
75+,Local-gov,7,Married-civ-spouse,Exec-managerial,Husband,White,Male,7,United-States,<=50K,75+
40-45,Private,6,Divorced,Adm-clerical,Unmarried,Other,Female,42,United-States,<=50K,40-45
50-55,Private,14,Married-civ-spouse,Prof-specialty,Wife,White,Female,50,United-States,>50K,50-55
25-30,Private,9,Married-civ-spouse,Machine-op-inspct,Husband,White,Male,40,United-States,<=50K,25-30
50-55,Private,12,Married-civ-spouse,Sales,Husband,White,Male,48,United-States,>50K,50-55
40-45,Private,13,Married-civ-spouse,Exec-managerial,Husband,White,Male,40,?,>50K,40-45
30-35,Private,3,Married-civ-spouse,Farming-fishing,Husband,Asian-Pac-Islander,Male,40,Philippines,<=50K,30-35
45-50,Private,13,Divorced,Exec-managerial,Unmarried,White,Male,45,United-States,>50K,45-50
50-55,Private,11,Married-civ-spouse,Tech-support,Husband,White,Male,40,United-States,>50K,50-55
40-45,Private,9,Never-married,Machine-op-inspct,Not-in-family,White,Male,40,United-States,<=50K,40-45
30-35,Private,13,Married-civ-spouse,Sales,Wife,White,Female,30,United-States,>50K,30-35
30-35,Private,10,Married-civ-spouse,Exec-managerial,Husband,White,Male,40,United-States,>50K,30-35
25-30,Private,13,Never-married,Prof-specialty,Not-in-family,White,Male,45,United-States,<=50K,25-30
30-35,Self-emp-inc,11,Divorced,Sales,Not-in-family,White,Male,40,United-States,<=50K,30-35
20-25,Private,9,Never-married,Handlers-cleaners,Own-child,White,Male,40,United-States,<=50K,20-25
65-70,?,9,Widowed,?,Not-in-family,White,Female,15,United-States,<=50K,65-70
65-70,Private,9,Married-civ-spouse,Sales,Husband,White,Male,40,United-States,>50K,65-70
35-40,Self-emp-not-inc,9,Married-civ-spouse,Sales,Husband,White,Male,50,United-States,>50K,35-40
20-25,Private,10,Never-married,Tech-support,Own-child,White,Male,40,United-States,<=50K,20-25
25-30,Self-emp-not-inc,12,Married-civ-spouse,Sales,Husband,White,Male,50,United-States,<=50K,25-30
55-60,Self-emp-not-inc,6,Divorced,Exec-managerial,Own-child,White,Male,60,United-States,>50K,55-60
45-50,Private,10,Widowed,Other-service,Not-in-family,White,Female,35,United-States,<=50K,45-50
50-55,Local-gov,9,Married-civ-spouse,Transport-moving,Husband,Black,Male,60,United-States,<=50K,50-55
30-35,Private,9,Married-civ-spouse,Handlers-cleaners,Husband,Black,Male,40,United-States,<=50K,30-35
50-55,Private,9,Married-civ-spouse,Exec-managerial,Husband,White,Male,60,United-States,>50K,50-55
25-30,Private,9,Married-civ-spouse,Prof-specialty,Husband,White,Male,40,United-States,>50K,25-30
25-30,Private,9,Married-civ-spouse,Craft-repair,Husband,White,Male,40,United-States,<=50K,25-30
20-25,Local-gov,10,Married-civ-spouse,Farming-fishing,Husband,White,Male,40,United-States,<=50K,20-25
20-25,Private,10,Never-married,Other-service,Not-in-family,White,Female,40,United-States,<=50K,20-25
35-40,Private,13,Married-spouse-absent,Prof-specialty,Not-in-family,White,Female,40,United-States,<=50K,35-40
50-55,Self-emp-not-inc,9,Married-civ-spouse,Sales,Husband,White,Male,50,United-States,>50K,50-55
65-70,Self-emp-inc,13,Separated,Sales,Not-in-family,White,Female,30,United-States,<=50K,65-70
30-35,Private,12,Never-married,Adm-clerical,Not-in-family,Asian-Pac-Islander,Female,60,United-States,>50K,30-35
40-45,Private,13,Married-civ-spouse,Adm-clerical,Husband,White,Male,40,United-States,<=50K,40-45
25-30,Local-gov,11,Never-married,Adm-clerical,Own-child,White,Male,43,United-States,<=50K,25-30
75+,Self-emp-not-inc,13,Never-married,Exec-managerial,Not-in-family,White,Male,20,United-States,>50K,75+
35-40,Private,9,Married-civ-spouse,Transport-moving,Husband,White,Male,40,United-States,>50K,35-40
25-30,Self-emp-not-inc,4,Married-civ-spouse,Transport-moving,Husband,White,Male,75,United-States,<=50K,25-30
40-45,Private,9,Married-civ-spouse,Other-service,Husband,Asian-Pac-Islander,Male,60,Japan,<=50K,40-45
50-55,?,9,Widowed,?,Not-in-family,White,Female,20,United-States,<=50K,50-55
20-25,Private,11,Married-civ-spouse,Tech-support,Husband,White,Male,40,Mexico,<=50K,20-25
25-30,Self-emp-not-inc,10,Never-married,Other-service,Not-in-family,White,Female,48,United-States,<=50K,25-30
40-45,Self-emp-inc,9,Married-civ-spouse,Sales,Husband,White,Male,68,United-States,>50K,40-45
20-25,Private,10,Never-married,Other-service,Own-child,White,Male,40,Poland,<=50K,20-25
20-25,Private,10,Never-married,Adm-clerical,Other-relative,Black,Female,30,Jamaica,<=50K,20-25
50-55,Self-emp-not-inc,9,Married-civ-spouse,Craft-repair,Husband,White,Male,55,United-States,>50K,50-55
65-70,Private,9,Married-civ-spouse,Adm-clerical,Wife,White,Female,5,United-States,<=50K,65-70
40-45,Private,13,Never-married,Sales,Unmarried,White,Male,40,United-States,<=50K,40-45
20-25,Private,11,Never-married,Adm-clerical,Not-in-family,White,Female,40,United-States,<=50K,20-25
40-45,Private,9,Married-civ-spouse,Transport-moving,Husband,Amer-Indian-Eskimo,Male,40,United-States,<=50K,40-45
65-70,Private,9,Married-civ-spouse,Craft-repair,Husband,White,Male,40,Greece,<=50K,65-70
55-60,?,9,Divorced,?,Not-in-family,White,Male,10,United-States,<=50K,55-60
30-35,Federal-gov,12,Divorced,Other-service,Unmarried,White,Male,40,United-States,<=50K,30-35
20-25,Private,6,Never-married,Adm-clerical,Not-in-family,White,Female,40,United-States,<=50K,20-25
40-45,Private,9,Divorced,Machine-op-inspct,Not-in-family,White,Female,24,United-States,<=50K,40-45
40-45,Self-emp-inc,9,Divorced,Exec-managerial,Not-in-family,White,Male,42,United-States,<=50K,40-45
40-45,Private,9,Divorced,Sales,Not-in-family,White,Female,42,United-States,<=50K,40-45
35-40,Private,9,Married-spouse-absent,Farming-fishing,Unmarried,Other,Male,40,Mexico,<=50K,35-40
55-60,Private,5,Divorced,Craft-repair,Not-in-family,White,Male,40,United-States,<=50K,55-60
30-35,?,6,Divorced,?,Unmarried,White,Female,16,?,<=50K,30-35
35-40,Private,12,Divorced,Adm-clerical,Unmarried,Black,Female,32,United-States,<=50K,35-40
30-35,Private,13,Married-civ-spouse,Sales,Husband,White,Male,55,United-States,<=50K,30-35
25-30,Private,13,Married-civ-spouse,Prof-specialty,Husband,White,Male,40,United-States,<=50K,25-30
25-30,State-gov,13,Never-married,Prof-specialty,Own-child,White,Male,40,United-States,<=50K,25-30
40-45,Self-emp-inc,13,Married-civ-spouse,Exec-managerial,Husband,White,Male,70,United-States,<=50K,40-45
40-45,Self-emp-not-inc,9,Married-civ-spouse,Exec-managerial,Husband,Asian-Pac-Islander,Male,40,China,<=50K,40-45
45-50,Local-gov,10,Married-civ-spouse,Prof-specialty,Husband,Black,Male,50,United-States,>50K,45-50
20-25,Private,10,Married-civ-spouse,Machine-op-inspct,Husband,White,Male,40,Mexico,<=50K,20-25
30-35,Private,13,Never-married,Exec-managerial,Own-child,White,Male,40,United-States,<=50K,30-35
35-40,Private,9,Never-married,Transport-moving,Not-in-family,Black,Male,50,United-States,<=50K,35-40
45-50,Self-emp-not-inc,9,Married-civ-spouse,Farming-fishing,Husband,White,Male,98,United-States,<=50K,45-50
55-60,Self-emp-not-inc,6,Married-civ-spouse,Craft-repair,Husband,White,Male,8,United-States,<=50K,55-60
45-50,Private,10,Divorced,Adm-clerical,Not-in-family,White,Female,60,United-States,<=50K,45-50
55-60,Local-gov,5,Married-civ-spouse,Transport-moving,Husband,White,Male,40,United-States,<=50K,55-60
50-55,Private,7,Widowed,Adm-clerical,Unmarried,White,Female,40,United-States,<=50K,50-55
50-55,Private,10,Married-civ-spouse,Craft-repair,Husband,White,Male,55,United-States,<=50K,50-55
25-30,Private,13,Never-married,Prof-specialty,Not-in-family,White,Male,40,United-States,<=50K,25-30
40-45,Private,14,Never-married,Prof-specialty,Not-in-family,White,Female,40,United-States,<=50K,40-45
20-25,Private,9,Divorced,Craft-repair,Not-in-family,White,Male,60,United-States,<=50K,20-25
20-25,Private,8,Never-married,Other-service,Not-in-family,White,Female,30,United-States,<=50K,20-25
45-50,Self-emp-not-inc,11,Married-civ-spouse,Exec-managerial,Husband,White,Male,60,United-States,<=50K,45-50
25-30,Private,10,Never-married,Machine-op-inspct,Not-in-family,White,Male,40,United-States,<=50K,25-30
40-45,Self-emp-not-inc,13,Married-civ-spouse,Prof-specialty,Wife,White,Female,70,United-States,>50K,40-45
20-25,Private,10,Never-married,Adm-clerical,Own-child,White,Female,30,United-States,<=50K,20-25
30-35,Private,9,Married-civ-spouse,Transport-moving,Husband,White,Male,80,United-States,>50K,30-35
55-60,Private,5,Married-civ-spouse,Transport-moving,Husband,Black,Male,40,United-States,<=50K,55-60
30-35,Private,9,Married-civ-spouse,Transport-moving,Husband,White,Male,43,United-States,<=50K,30-35
-20,State-gov,10,Never-married,Adm-clerical,Own-child,White,Male,10,United-States,<=50K,70-75
20-25,Private,10,Never-married,Sales,Own-child,White,Female,18,United-States,<=50K,20-25
30-35,Private,10,Married-civ-spouse,Adm-clerical,Husband,White,Male,40,United-States,<=50K,30-35
30-35,Private,5,Divorced,Other-service,Unmarried,White,Female,40,United-States,<=50K,30-35
50-55,Self-emp-not-inc,9,Married-civ-spouse,Craft-repair,Husband,White,Male,40,United-States,<=50K,50-55
50-55,Private,5,Married-civ-spouse,Tech-support,Wife,White,Female,23,United-States,<=50K,50-55
30-35,Private,10,Never-married,Sales,Not-in-family,White,Male,45,United-States,<=50K,30-35
25-30,Private,9,Divorced,Other-service,Unmarried,White,Female,40,United-States,<=50K,25-30
30-35,Private,9,Divorced,Other-service,Unmarried,White,Male,40,United-States,<=50K,30-35
50-55,Private,9,Separated,Machine-op-inspct,Not-in-family,White,Male,40,United-States,<=50K,50-55
55-60,Private,9,Married-civ-spouse,Craft-repair,Husband,White,Male,40,United-States,<=50K,55-60
55-60,Private,9,Divorced,Adm-clerical,Unmarried,Black,Female,36,United-States,<=50K,55-60
35-40,Private,5,Married-civ-spouse,Handlers-cleaners,Husband,White,Male,40,United-States,<=50K,35-40
50-55,Private,9,Married-civ-spouse,Craft-repair,Husband,Black,Male,40,United-States,<=50K,50-55
20-25,Local-gov,13,Married-civ-spouse,Prof-specialty,Husband,White,Male,40,United-States,>50K,20-25
-20,Self-emp-inc,7,Never-married,Farming-fishing,Own-child,White,Male,30,United-States,<=50K,70-75
40-45,Private,10,Married-civ-spouse,Craft-repair,Husband,White,Male,40,United-States,<=50K,40-45
55-60,Private,6,Widowed,Other-service,Unmarried,White,Female,40,United-States,<=50K,55-60
35-40,Private,9,Married-civ-spouse,Exec-managerial,Husband,White,Male,40,United-States,>50K,35-40
45-50,Private,9,Never-married,Other-service,Unmarried,White,Female,24,United-States,<=50K,45-50
35-40,Private,9,Never-married,Other-service,Own-child,White,Female,38,United-States,<=50K,35-40
-20,Private,9,Never-married,Craft-repair,Not-in-family,White,Female,40,United-States,<=50K,70-75
40-45,Private,12,Married-civ-spouse,Machine-op-inspct,Husband,White,Male,40,United-States,<=50K,40-45
50-55,Private,9,Never-married,Adm-clerical,Not-in-family,White,Male,41,United-States,<=50K,50-55
35-40,Private,14,Married-civ-spouse,Exec-managerial,Husband,White,Male,40,United-States,>50K,35-40
40-45,Private,9,Married-civ-spouse,Craft-repair,Husband,White,Male,40,United-States,>50K,40-45
25-30,Private,15,Never-married,Prof-specialty,Not-in-family,White,Female,30,United-States,<=50K,25-30
55-60,Self-emp-inc,9,Married-civ-spouse,Adm-clerical,Husband,White,Male,50,United-States,<=50K,55-60
30-35,Local-gov,10,Married-civ-spouse,Protective-serv,Husband,White,Male,40,United-States,>50K,30-35
55-60,Private,10,Married-civ-spouse,Exec-managerial,Husband,White,Male,40,United-States,>50K,55-60
55-60,Private,9,Married-civ-spouse,Machine-op-inspct,Husband,White,Male,40,United-States,<=50K,55-60
20-25,Private,9,Never-married,Transport-moving,Not-in-family,White,Male,70,United-States,<=50K,20-25
55-60,Private,8,Married-civ-spouse,Transport-moving,Other-relative,White,Male,40,United-States,<=50K,55-60
45-50,Federal-gov,14,Married-spouse-absent,Exec-managerial,Not-in-family,White,Female,50,United-States,>50K,45-50
40-45,Local-gov,14,Married-civ-spouse,Prof-specialty,Husband,White,Male,55,United-States,>50K,40-45
-20,Private,9,Never-married,Sales,Own-child,Asian-Pac-Islander,Female,40,United-States,<=50K,70-75
55-60,Private,9,Widowed,Other-service,Unmarried,White,Female,40,United-States,<=50K,55-60
45-50,Self-emp-inc,9,Married-civ-spouse,Craft-repair,Husband,White,Male,60,United-States,>50K,45-50
35-40,Private,13,Never-married,Tech-support,Not-in-family,Asian-Pac-Islander,Female,48,Philippines,<=50K,35-40
35-40,Private,9,Divorced,Other-service,Not-in-family,White,Male,32,United-States,<=50K,35-40
55-60,Private,10,Divorced,Adm-clerical,Unmarried,White,Female,40,United-States,<=50K,55-60
20-25,Private,10,Never-married,Exec-managerial,Own-child,White,Male,50,United-States,<=50K,20-25
65-70,Private,10,Married-civ-spouse,Prof-specialty,Husband,White,Male,40,?,<=50K,65-70
50-55,Private,13,Divorced,Prof-specialty,Not-in-family,White,Male,45,United-States,<=50K,50-55
20-25,?,3,Married-civ-spouse,?,Wife,Other,Female,40,Mexico,<=50K,20-25
40-45,Private,9,Married-civ-spouse,Farming-fishing,Husband,White,Male,70,United-States,<=50K,40-45
45-50,Federal-gov,10,Divorced,Tech-support,Not-in-family,White,Male,40,United-States,<=50K,45-50
65-70,State-gov,13,Married-civ-spouse,Adm-clerical,Husband,White,Male,40,United-States,<=50K,65-70
30-35,Private,13,Married-civ-spouse,Exec-managerial,Husband,Black,Male,40,England,>50K,30-35
30-35,Private,10,Married-civ-spouse,Adm-clerical,Husband,White,Male,40,United-States,<=50K,30-35
35-40,Private,11,Married-civ-spouse,Sales,Husband,White,Male,50,United-States,>50K,35-40
20-25,Private,9,Never-married,Other-service,Not-in-family,White,Female,50,United-States,<=50K,20-25
25-30,Private,10,Married-civ-spouse,Craft-repair,Husband,White,Male,40,United-States,<=50K,25-30
30-35,Private,11,Never-married,Other-service,Not-in-family,Black,Female,40,United-States,<=50K,30-35
50-55,Private,9,Married-civ-spouse,Transport-moving,Husband,White,Male,50,United-States,<=50K,50-55
55-60,Local-gov,5,Married-civ-spouse,Other-service,Husband,White,Male,40,United-States,<=50K,55-60
25-30,Local-gov,14,Married-civ-spouse,Prof-specialty,Wife,White,Female,20,United-States,>50K,25-30
55-60,Private,9,Divorced,Adm-clerical,Unmarried,White,Female,40,United-States,<=50K,55-60
40-45,Private,9,Married-civ-spouse,Craft-repair,Husband,White,Male,45,United-States,<=50K,40-45
50-55,Self-emp-inc,10,Divorced,Exec-managerial,Not-in-family,White,Male,60,United-States,<=50K,50-55
55-60,Self-emp-not-inc,10,Married-civ-spouse,Exec-managerial,Husband,White,Male,60,United-States,>50K,55-60
-20,Private,10,Never-married,Other-service,Own-child,White,Female,20,United-States,<=50K,70-75
35-40,Self-emp-inc,12,Married-civ-spouse,Exec-managerial,Husband,White,Male,50,United-States,>50K,35-40
30-35,Self-emp-inc,10,Married-civ-spouse,Exec-managerial,Wife,Asian-Pac-Islander,Female,70,South,<=50K,30-35
25-30,Private,9,Married-civ-spouse,Craft-repair,Husband,White,Male,40,United-States,<=50K,25-30
45-50,Local-gov,5,Separated,Other-service,Unmarried,Black,Female,40,United-States,<=50K,45-50
35-40,Self-emp-not-inc,14,Never-married,Exec-managerial,Not-in-family,White,Male,40,United-States,<=50K,35-40
25-30,Private,13,Never-married,Sales,Not-in-family,Black,Female,40,United-States,<=50K,25-30
30-35,Private,10,Never-married,Transport-moving,Not-in-family,White,Male,55,United-States,<=50K,30-35
20-25,Private,10,Never-married,Other-service,Own-child,White,Male,16,United-States,<=50K,20-25
50-55,Private,9,Divorced,Craft-repair,Not-in-family,White,Male,45,United-States,<=50K,50-55
35-40,Private,12,Never-married,Sales,Not-in-family,White,Female,40,United-States,<=50K,35-40
40-45,Private,9,Never-married,Other-service,Not-in-family,White,Female,40,United-States,<=50K,40-45
25-30,Private,13,Never-married,Prof-specialty,Not-in-family,White,Female,40,United-States,<=50K,25-30
35-40,Self-emp-inc,13,Married-spouse-absent,Sales,Not-in-family,White,Male,40,United-States,<=50K,35-40
25-30,Private,9,Separated,Exec-managerial,Unmarried,White,Female,50,United-States,<=50K,25-30
20-25,Private,10,Never-married,Sales,Own-child,White,Male,24,United-States,<=50K,20-25
30-35,Private,9,Married-civ-spouse,Craft-repair,Husband,White,Male,50,United-States,<=50K,30-35
50-55,Private,9,Married-civ-spouse,Transport-moving,Husband,White,Male,60,United-States,<=50K,50-55
20-25,Private,13,Never-married,Adm-clerical,Own-child,White,Male,40,United-States,<=50K,20-25
65-70,Private,9,Divorced,Protective-serv,Not-in-family,White,Female,32,United-States,<=50K,65-70
20-25,Private,10,Never-married,Adm-clerical,Own-child,White,Male,40,United-States,<=50K,20-25
65-70,Private,9,Widowed,Exec-managerial,Not-in-family,White,Female,40,United-States,<=50K,65-70
40-45,Self-emp-not-inc,4,Married-civ-spouse,Exec-managerial,Husband,White,Male,55,United-States,>50K,40-45
45-50,Private,9,Married-civ-spouse,Handlers-cleaners,Husband,White,Male,60,United-States,<=50K,45-50
55-60,Private,10,Divorced,Other-service,Not-in-family,White,Female,50,United-States,<=50K,55-60
75+,Private,16,Married-civ-spouse,Prof-specialty,Husband,White,Male,35,El-Salvador,>50K,75+
20-25,Private,10,Never-married,Adm-clerical,Own-child,White,Female,15,United-States,<=50K,20-25
25-30,Private,9,Never-married,Craft-repair,Unmarried,Asian-Pac-Islander,Male,40,Vietnam,<=50K,25-30
25-30,Private,13,Married-civ-spouse,Sales,Husband,White,Male,25,?,<=50K,25-30
35-40,Private,13,Married-civ-spouse,Sales,Husband,White,Male,40,United-States,>50K,35-40
55-60,?,9,Married-civ-spouse,?,Husband,White,Male,5,United-States,<=50K,55-60
55-60,Private,9,Married-civ-spouse,Craft-repair,Husband,White,Male,40,United-States,>50K,55-60
70-75,Self-emp-not-inc,15,Married-civ-spouse,Farming-fishing,Husband,White,Male,2,United-States,<=50K,70-75
45-50,Private,15,Married-civ-spouse,Prof-specialty,Husband,White,Male,60,United-States,>50K,45-50
25-30,Local-gov,10,Never-married,Exec-managerial,Not-in-family,White,Male,40,Iran,<=50K,25-30
30-35,Private,6,Separated,Other-service,Unmarried,White,Female,35,United-States,<=50K,30-35
55-60,State-gov,9,Married-civ-spouse,Protective-serv,Husband,Amer-Indian-Eskimo,Male,40,United-States,>50K,55-60
30-35,Private,12,Never-married,Adm-clerical,Not-in-family,White,Male,50,United-States,<=50K,30-35
40-45,Private,13,Married-civ-spouse,Other-service,Wife,White,Female,35,?,>50K,40-45
30-35,Private,6,Never-married,Handlers-cleaners,Unmarried,Black,Male,40,United-States,<=50K,30-35
30-35,Private,9,Married-civ-spouse,Adm-clerical,Wife,White,Female,52,United-States,<=50K,30-35
30-35,State-gov,9,Married-civ-spouse,Protective-serv,Husband,White,Male,45,United-States,<=50K,30-35
20-25,Private,10,Never-married,Other-service,Own-child,White,Female,9,United-States,<=50K,20-25
35-40,Private,9,Married-civ-spouse,Prof-specialty,Wife,White,Female,40,United-States,<=50K,35-40
